Ticket,Date,Customer - Site - Service,Service,Container Size,Material,Route,Truck,Quantity,Per,Disposal Rate,Per,Disposal Cost,Quantity Billed,Per,Bill Rate,Per,Amount
982572,04/21/25,206275-0001-001 LAREDO TRAILER SUPPLY,R1,30.0,28,1227,37,4.18,TN,$46.50,/ TN,$194.37,4.18,TN,$46.50,/ TN,$194.37
988254,04/01/25,212205-0001-001 UETA INC-OPEN TOP,R1,30.0,28,2221,56,1.9,TN,$46.50,/ TN,$88.35,1.9,TN,$46.50,/ TN,$88.35
988305,04/01/25,205033-0001-002 MALL DEL NORTE,R2,30.0,28,2225,42,0.23,TN,$46.50,/ TN,$10.70,0.23,TN,$46.50,/ TN,$10.70
988331,04/01/25,211312-0001-001 PROTRANS INTERNATIONAL,R1,30.0,28,2223,79,0.67,TN,$46.50,/ TN,$31.16,0.67,TN,$46.50,/ TN,$31.16
988336,04/01/25,210378-0001-002 SOUTH TEXAS FOOD BANK,R1,30.0,28,2226,62,2.15,TN,$46.50,/ TN,$99.98,2.15,TN,$46.50,/ TN,$99.98
988343,04/01/25,214096-0001-001 WALMART-3518,R2,30.0,28,2225,42,3.93,TN,$46.50,/ TN,$182.75,3.93,TN,$46.50,/ TN,$182.75
988358,04/01/25,215895-0001-001 360 GENERAL CONTRACTOR,R1,30.0,28,2223,79,6.24,TN,$46.50,/ TN,$290.16,6.24,TN,$46.50,/ TN,$290.16
988367,04/01/25,212205-0001-001 UETA INC-OPEN TOP,R1,30.0,28,2221,56,0.61,TN,$46.50,/ TN,$28.37,0.61,TN,$46.50,/ TN,$28.37
988373,04/01/25,209299-0001-002 BEST BUY # 241,R2,30.0,28,2226,62,0.5,TN,$46.50,/ TN,$23.25,0.5,TN,$46.50,/ TN,$23.25
988373,04/01/25,209299-0001-002 BEST BUY # 241,R2,30.0,24,2226,62,1.0,TN,$46.50,/ TN,$46.50,1.0,TN,$46.50,/ TN,$46.50
988482,04/01/25,203122-0001-001 ZARSKY LUMBER,R1,30.0,28,2221,56,1.11,TN,$46.50,/ TN,$51.62,1.11,TN,$46.50,/ TN,$51.62
