Ticket,Date,Customer - Site - Service,Service,Container Size,Material,Route,Truck,Quantity,Per,Disposal Rate,Per,Disposal Cost,Quantity Billed,Per,Bill Rate,Per,Amount
1003607,05/01/25,215936-0001-001 BRENCO,R1,30.0,28,4223,79,3.44,TN,$46.50,/ TN,$159.96,3.44,TN,$46.50,/ TN,$159.96
1003613,05/01/25,210687-0001-001 TARGET 2112,R1,30.0,28,4221,56,6.23,TN,$46.50,/ TN,$289.70,6.23,TN,$46.50,/ TN,$289.70
1003632,05/01/25,208353-0001-002 ROAD RANGER #272,R2,30.0,28,4221,56,9.73,TN,$46.50,/ TN,$452.45,9.73,TN,$46.50,/ TN,$452.45
1003687,05/01/25,208886-0001-001 FONTAINE MODIFICATION,R1,30.0,28,4226,62,0.77,TN,$46.50,/ TN,$35.81,0.77,TN,$46.50,/ TN,$35.81
1003689,05/01/25,210833-0001-001 FUEL AMERICA TRAVEL CTR,R1,30.0,28,4224,57,1.03,TN,$46.50,/ TN,$47.90,1.03,TN,$46.50,/ TN,$47.90
1003716,05/01/25,215922-0001-001 INTERNATIONAL SPECIALIZE,R1,30.0,28,4223,79,1.63,TN,$46.50,/ TN,$75.80,1.63,TN,$46.50,/ TN,$75.80
1003729,05/01/25,215903-0001-001 JK LIQUIDATION INC,R1,30.0,28,4226,62,1.3,TN,$46.50,/ TN,$60.45,1.3,TN,$46.50,/ TN,$60.45
1003771,05/01/25,210378-0001-002 SOUTH TEXAS FOOD BANK,R1,30.0,28,4224,57,2.21,TN,$46.50,/ TN,$102.77,2.21,TN,$46.50,/ TN,$102.77
1003789,05/01/25,210833-0001-001 FUEL AMERICA TRAVEL CTR,R1,30.0,28,4221,56,0.72,TN,$46.50,/ TN,$33.48,0.72,TN,$46.50,/ TN,$33.48
1003819,05/01/25,205033-0003-002 MALL DEL NORTE,R1,30.0,28,4226,62,1.37,TN,$46.50,/ TN,$63.71,1.37,TN,$46.50,/ TN,$63.71
1003838,05/01/25,203654-0001-001 MC COYS BUILDING SUPPL,R1,30.0,28,4221,56,1.54,TN,$46.50,/ TN,$71.61,1.54,TN,$46.50,/ TN,$71.61
1003848,05/01/25,205041-0001-001 HPJ,R1,30.0,28,4223,79,2.68,TN,$46.50,/ TN,$124.62,2.68,TN,$46.50,/ TN,$124.62
1003913,05/01/25,203728-0001-003 B T S GROUP INC,R1,30.0,28,4224,57,1.68,TN,$46.50,/ TN,$78.12,1.68,TN,$46.50,/ TN,$78.12
1003916,05/01/25,215659-0002-001 GABRIEL VIELMA,R1,30.0,28,4226,62,9.54,TN,$46.50,/ TN,$443.61,9.54,TN,$46.50,/ TN,$443.61
1003947,05/01/25,209226-0001-001 MALLORY ALEXANDER,R1,30.0,28,4223,79,1.33,TN,$46.50,/ TN,$61.85,1.33,TN,$46.50,/ TN,$61.85
1003976,05/01/25,209686-0001-002 UNITRADE STADIUM,R1,30.0,28,4221,56,1.26,TN,$46.50,/ TN,$58.59,1.26,TN,$46.50,/ TN,$58.59
1004045,05/01/25,200907-0001-001 WERNER ENTERPRISES,R1,30.0,28,4224,57,1.04,TN,$46.50,/ TN,$48.36,1.04,TN,$46.50,/ TN,$48.36
1004057,05/01/25,210584-0001-002 LOWE'S,R2,30.0,28,4226,62,7.62,TN,$46.50,/ TN,$354.33,7.62,TN,$46.50,/ TN,$354.33
1004058,05/01/25,215926-0001-001 PAISANO HOME BUILDERS,R1,30.0,28,4221,56,6.21,TN,$46.50,/ TN,$288.77,6.21,TN,$46.50,/ TN,$288.77
1004067,05/01/25,215945-0001-001 K M FORWARDING,R1,30.0,28,4223,79,3.32,TN,$46.50,/ TN,$154.38,3.32,TN,$46.50,/ TN,$154.38
1004137,05/01/25,210131-0001-001 TKR USA INC,R1,30.0,28,4224,57,0.3,TN,$46.50,/ TN,$13.95,0.3,TN,$46.50,/ TN,$13.95
1004148,05/01/25,202566-0001-001 ROBERT BOSCH CORP,R1,30.0,28,4223,79,0.93,TN,$46.50,/ TN,$43.25,0.93,TN,$46.50,/ TN,$43.25
1004165,05/01/25,211219-0001-001 TRI-NATIONAL INC,R1,30.0,28,4221,56,1.74,TN,$46.50,/ TN,$80.91,1.74,TN,$46.50,/ TN,$80.91
1004171,05/01/25,207669-0001-001 TRUCK MOVERS,R1,30.0,28,4224,57,3.92,TN,$46.50,/ TN,$182.28,3.92,TN,$46.50,/ TN,$182.28
