Ticket,Date,Customer - Site - Service,Service,Container Size,Material,Route,Truck,Quantity,Per,Disposal Rate,Per,Disposal Cost,Quantity Billed,Per,Bill Rate,Per,Amount
10022677,06/11/25,200216-0001-001 INTERAMERICA/HINOJOSA,R1,30.0,28,3223,79,1.61,TN,$46.50,/ TN,$74.87,1.61,TN,$46.50,/ TN,$74.87
1017855,06/02/25,210687-0001-001 TARGET 2112,R1,30.0,28,1299,37,3.38,TN,$46.50,/ TN,$157.17,3.38,TN,$46.50,/ TN,$157.17
1017863,06/02/25,203168-0001-001 CR ENGLAND,R1,30.0,28,1223,79,0.91,TN,$46.50,/ TN,$42.32,0.91,TN,$46.50,/ TN,$42.32
1017864a,06/02/25,214096-0001-001 WALMART-3518,R2,30.0,28,1226,62,8.84,TN,$46.50,/ TN,$411.06,8.84,TN,$46.50,/ TN,$411.06
1017890,06/02/25,214339-0001-001 LOVE'S TRAVEL STOPS 862,R2,30.0,28,1221,56,7.39,TN,$46.50,/ TN,$343.64,7.39,TN,$46.50,/ TN,$343.64
1017896,06/02/25,210833-0001-001 FUEL AMERICA TRAVEL CTR,R1,30.0,28,1299,37,0.89,TN,$46.50,/ TN,$41.39,0.89,TN,$46.50,/ TN,$41.39
1017968,06/02/25,210918-0001-001 TRAVEL AMERICA,R2,30.0,28,1224,57,3.03,TN,$46.50,/ TN,$140.90,3.03,TN,$46.50,/ TN,$140.90
1017975,06/02/25,215766-0001-001 TOYOTA LIFT,R1,30.0,28,1223,79,1.01,TN,$46.50,/ TN,$46.97,1.01,TN,$46.50,/ TN,$46.97
1018076,06/02/25,210584-0001-002 LOWE'S,R2,30.0,28,1226,62,3.17,TN,$46.50,/ TN,$147.41,3.17,TN,$46.50,/ TN,$147.41
1018104,06/02/25,208886-0001-001 FONTAINE MODIFICATION,R1,30.0,28,1224,57,0.01,TN,$46.50,/ TN,$0.47,0.01,TN,$46.50,/ TN,$0.47
1018113,06/02/25,"204545-0001-001 PROLAMSA, INC",R1,30.0,28,1223,79,3.22,TN,$46.50,/ TN,$149.73,3.22,TN,$46.50,/ TN,$149.73
1018140,06/02/25,210460-0001-001 LOVE'S TRAVEL STOPS L0298,R2,30.0,28,1221,56,6.51,TN,$46.50,/ TN,$302.72,6.51,TN,$46.50,/ TN,$302.72
1018190,06/02/25,210918-0001-001 TRAVEL AMERICA,R2,30.0,28,1225,42,2.94,TN,$46.50,/ TN,$136.71,2.94,TN,$46.50,/ TN,$136.71
1018237,06/02/25,214049-0001-001 TP COCINA LLC,R1,15.0,28,1226,62,0.52,TN,$46.50,/ TN,$24.18,0.52,TN,$46.50,/ TN,$24.18
1018247,06/02/25,201871-0001-001 LASER FORWARDING,R1,30.0,28,1224,57,0.66,TN,$46.50,/ TN,$30.69,0.66,TN,$46.50,/ TN,$30.69
1018254,06/02/25,"204545-0001-001 PROLAMSA, INC",R1,30.0,28,1223,79,3.22,TN,$46.50,/ TN,$149.73,3.22,TN,$46.50,/ TN,$149.73
1018377,06/02/25,210839-0001-002 NATURE FRESH FARMS LAREDO,R1,15.0,13,1226,62,1.11,TN,$216.50,/ TN,$240.32,1.11,TN,$216.50,/ TN,$240.32
