Selective Ticket Listing,"Date Range: April 01, 2025 To April 30, 2025",Customer Range: 000000 To 999999,,* indicates vehicle associated with the first completed range on the route.,BILLABLE Only,City Of Laredo Landfill,Type: Detailed Sort By Ticket Number,,,,,,,,,,,,,,,982572,4/21/2025,206275-0001-001 LAREDO TRAILER SUPPLY,R1,30,28,1227,37,4.18,TN,$46.50 ,/ TN,$194.37 ,,4.18,TN,$46.50 ,/ TN,$194.37 ,"$103,062.81 ","$103,001.43 ",$0.00 ,$0.00 ,"$103,062.81 ","$103,001.43 ",[653 Tickets Reported],alejandro 05/06/2025 2:46 PM,Southern Sanitation,Page -1 of 1
Selective Ticket Listing,"Date Range: April 01, 2025 To April 30, 2025",Customer Range: 000000 To 999999,,* indicates vehicle associated with the first completed range on the route.,BILLABLE Only,City Of Laredo Landfill,Type: Detailed Sort By Ticket Number,,,,,,,,,,,,,,,988254,4/1/2025,212205-0001-001 UETA INC-OPEN TOP,R1,30,28,2221,56,1.9,TN,$46.50 ,/ TN,$88.35 ,,1.9,TN,$46.50 ,/ TN,$88.35 ,"$103,062.81 ","$103,001.43 ",$0.00 ,$0.00 ,"$103,062.81 ","$103,001.43 ",[653 Tickets Reported],alejandro 05/06/2025 2:46 PM,Southern Sanitation,Page -1 of 1
Selective Ticket Listing,"Date Range: April 01, 2025 To April 30, 2025",Customer Range: 000000 To 999999,,* indicates vehicle associated with the first completed range on the route.,BILLABLE Only,City Of Laredo Landfill,Type: Detailed Sort By Ticket Number,,,,,,,,,,,,,,,988305,4/1/2025,205033-0001-002 MALL DEL NORTE,R2,30,28,2225,42,0.23,TN,$46.50 ,/ TN,$10.70 ,,0.23,TN,$46.50 ,/ TN,$10.70 ,"$103,062.81 ","$103,001.43 ",$0.00 ,$0.00 ,"$103,062.81 ","$103,001.43 ",[653 Tickets Reported],alejandro 05/06/2025 2:46 PM,Southern Sanitation,Page -1 of 1
Selective Ticket Listing,"Date Range: April 01, 2025 To April 30, 2025",Customer Range: 000000 To 999999,,* indicates vehicle associated with the first completed range on the route.,BILLABLE Only,City Of Laredo Landfill,Type: Detailed Sort By Ticket Number,,,,,,,,,,,,,,,988331,4/1/2025,211312-0001-001 PROTRANS INTERNATIONAL,R1,30,28,2223,79,0.67,TN,$46.50 ,/ TN,$31.16 ,,0.67,TN,$46.50 ,/ TN,$31.16 ,"$103,062.81 ","$103,001.43 ",$0.00 ,$0.00 ,"$103,062.81 ","$103,001.43 ",[653 Tickets Reported],alejandro 05/06/2025 2:46 PM,Southern Sanitation,Page -1 of 1
Selective Ticket Listing,"Date Range: April 01, 2025 To April 30, 2025",Customer Range: 000000 To 999999,,* indicates vehicle associated with the first completed range on the route.,BILLABLE Only,City Of Laredo Landfill,Type: Detailed Sort By Ticket Number,,,,,,,,,,,,,,,988336,4/1/2025,210378-0001-002 SOUTH TEXAS FOOD BANK,R1,30,28,2226,62,2.15,TN,$46.50 ,/ TN,$99.98 ,,2.15,TN,$46.50 ,/ TN,$99.98 ,"$103,062.81 ","$103,001.43 ",$0.00 ,$0.00 ,"$103,062.81 ","$103,001.43 ",[653 Tickets Reported],alejandro 05/06/2025 2:46 PM,Southern Sanitation,Page -1 of 1
Selective Ticket Listing,"Date Range: April 01, 2025 To April 30, 2025",Customer Range: 000000 To 999999,,* indicates vehicle associated with the first completed range on the route.,BILLABLE Only,City Of Laredo Landfill,Type: Detailed Sort By Ticket Number,,,,,,,,,,,,,,,988343,4/1/2025,214096-0001-001 WALMART-3518,R2,30,28,2225,42,3.93,TN,$46.50 ,/ TN,$182.75 ,,3.93,TN,$46.50 ,/ TN,$182.75 ,"$103,062.81 ","$103,001.43 ",$0.00 ,$0.00 ,"$103,062.81 ","$103,001.43 ",[653 Tickets Reported],alejandro 05/06/2025 2:46 PM,Southern Sanitation,Page -1 of 1
Selective Ticket Listing,"Date Range: April 01, 2025 To April 30, 2025",Customer Range: 000000 To 999999,,* indicates vehicle associated with the first completed range on the route.,BILLABLE Only,City Of Laredo Landfill,Type: Detailed Sort By Ticket Number,,,,,,,,,,,,,,,988358,4/1/2025,215895-0001-001 360 GENERAL CONTRACTOR,R1,30,28,2223,79,6.24,TN,$46.50 ,/ TN,$290.16 ,,6.24,TN,$46.50 ,/ TN,$290.16 ,"$103,062.81 ","$103,001.43 ",$0.00 ,$0.00 ,"$103,062.81 ","$103,001.43 ",[653 Tickets Reported],alejandro 05/06/2025 2:46 PM,Southern Sanitation,Page -1 of 1
Selective Ticket Listing,"Date Range: April 01, 2025 To April 30, 2025",Customer Range: 000000 To 999999,,* indicates vehicle associated with the first completed range on the route.,BILLABLE Only,City Of Laredo Landfill,Type: Detailed Sort By Ticket Number,,,,,,,,,,,,,,,988367,4/1/2025,212205-0001-001 UETA INC-OPEN TOP,R1,30,28,2221,56,0.61,TN,$46.50 ,/ TN,$28.37 ,,0.61,TN,$46.50 ,/ TN,$28.37 ,"$103,062.81 ","$103,001.43 ",$0.00 ,$0.00 ,"$103,062.81 ","$103,001.43 ",[653 Tickets Reported],alejandro 05/06/2025 2:46 PM,Southern Sanitation,Page -1 of 1
Selective Ticket Listing,"Date Range: April 01, 2025 To April 30, 2025",Customer Range: 000000 To 999999,,* indicates vehicle associated with the first completed range on the route.,BILLABLE Only,City Of Laredo Landfill,Type: Detailed Sort By Ticket Number,,,,,,,,,,,,,,,988373,4/1/2025,209299-0001-002 BEST BUY # 241,R2,30,28,2226,62,0.5,TN,$46.50 ,/ TN,$23.25 ,,0.5,TN,$46.50 ,/ TN,$23.25 ,"$103,062.81 ","$103,001.43 ",$0.00 ,$0.00 ,"$103,062.81 ","$103,001.43 ",[653 Tickets Reported],alejandro 05/06/2025 2:46 PM,Southern Sanitation,Page -1 of 1
Selective Ticket Listing,"Date Range: April 01, 2025 To April 30, 2025",Customer Range: 000000 To 999999,,* indicates vehicle associated with the first completed range on the route.,BILLABLE Only,City Of Laredo Landfill,Type: Detailed Sort By Ticket Number,,,,,,,,,,,,,,,988373,4/1/2025,209299-0001-002 BEST BUY # 241,R2,30,24,2226,62,1,TN,$46.50 ,/ TN,$46.50 ,,1,TN,$46.50 ,/ TN,$46.50 ,"$103,062.81 ","$103,001.43 ",$0.00 ,$0.00 ,"$103,062.81 ","$103,001.43 ",[653 Tickets Reported],alejandro 05/06/2025 2:46 PM,Southern Sanitation,Page -1 of 1
